STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2016,2016,,012,New Goods Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,-,All fuel types,Number,1934
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,1,Petrol,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,2,Diesel,Number,1927
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,013,New Tractors,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,-,All fuel types,Number,1546
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,1,Petrol,Number,1539
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,2,Diesel,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,4,Petrol and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,014,New Motor Cycles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,-,All fuel types,Number,6207
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,1,Petrol,Number,1079
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,2,Diesel,Number,5035
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,4,Petrol and electric hybrid,Number,89
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,015,New Exempt Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,-,All fuel types,Number,957
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,1,Petrol,Number,21
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,2,Diesel,Number,929
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,4,Petrol and electric hybrid,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01601,New Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,-,All fuel types,Number,500
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,1,Petrol,Number,21
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,2,Diesel,Number,472
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,4,Petrol and electric hybrid,Number,7
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016011,New Small Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,-,All fuel types,Number,457
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,2,Diesel,Number,457
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,016012,New Large Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,-,All fuel types,Number,444
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,2,Diesel,Number,442
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,3,Other fuel types,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01604,New Machines or Contrivances,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,-,All fuel types,Number,223
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,1,Petrol,Number,6
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,2,Diesel,Number,217
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,,01605,Other Classes New Other Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,-,All fuel types,Number,161840
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,1,Petrol,Number,41964
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,2,Diesel,Number,114461
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,3,Other fuel types,Number,3
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,4,Petrol and electric hybrid,Number,4486
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,261
TEA17,New Vehicles Licensed for the First Time,2017,2017,,-,All Vehicles,9,Diesel and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,-,All fuel types,Number,127045
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,1,Petrol,Number,39391
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,2,Diesel,Number,82492
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,4,Petrol and electric hybrid,Number,4279
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,7,Petrol or Diesel plug-in hybrid electric,Number,259
TEA17,New Vehicles Licensed for the First Time,2017,2017,,011,New Private Cars,9,Diesel and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,-,All fuel types,Number,24101
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,1,Petrol,Number,11
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,2,Diesel,Number,24055
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,3,Other fuel types,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,4,Petrol and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,012,New Goods Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,-,All fuel types,Number,1810
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,1,Petrol,Number,10
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,2,Diesel,Number,1800
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,013,New Tractors,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,-,All fuel types,Number,1431
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,1,Petrol,Number,1413
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,2,Diesel,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,3,Other fuel types,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,4,Petrol and electric hybrid,Number,11
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,014,New Motor Cycles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,-,All fuel types,Number,5854
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,1,Petrol,Number,1121
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,2,Diesel,Number,4551
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,4,Petrol and electric hybrid,Number,179
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,,015,New Exempt Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,-,All fuel types,Number,942
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,1,Petrol,Number,15
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,2,Diesel,Number,910
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,4,Petrol and electric hybrid,Number,15
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01601,New Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,-,All fuel types,Number,505
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,1,Petrol,Number,15
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,2,Diesel,Number,473
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,4,Petrol and electric hybrid,Number,15
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016011,New Small Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,-,All fuel types,Number,437
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,2,Diesel,Number,437
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,016012,New Large Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,-,All fuel types,Number,424
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,2,Diesel,Number,422
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01604,New Machines or Contrivances,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,-,All fuel types,Number,233
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,1,Petrol,Number,3
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,2,Diesel,Number,229
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,4,Petrol and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,,01605,Other Classes New Other Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,-,All fuel types,Number,157865
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,1,Petrol,Number,49778
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,2,Diesel,Number,99100
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,3,Other fuel types,Number,10
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,4,Petrol and electric hybrid,Number,6921
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,727
TEA17,New Vehicles Licensed for the First Time,2018,2018,,-,All Vehicles,9,Diesel and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,-,All fuel types,Number,121157
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,1,Petrol,Number,46776
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,2,Diesel,Number,65814
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,4,Petrol and electric hybrid,Number,6629
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,7,Petrol or Diesel plug-in hybrid electric,Number,715
TEA17,New Vehicles Licensed for the First Time,2018,2018,,011,New Private Cars,9,Diesel and electric hybrid,Number,1
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,-,All fuel types,Number,25459
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,1,Petrol,Number,8
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,2,Diesel,Number,25372
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,3,Other fuel types,Number,10
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2018,2018,,012,New Goods Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,-,All fuel types,Number,2043
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,1,Petrol,Number,5
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,2,Diesel,Number,2038
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,013,New Tractors,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,-,All fuel types,Number,1556
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,1,Petrol,Number,1549
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,2,Diesel,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,014,New Motor Cycles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,-,All fuel types,Number,5910
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,1,Petrol,Number,1416
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,2,Diesel,Number,4197
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,4,Petrol and electric hybrid,Number,276
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,10
TEA17,New Vehicles Licensed for the First Time,2018,2018,,015,New Exempt Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,-,All fuel types,Number,976
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,1,Petrol,Number,20
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,2,Diesel,Number,922
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,4,Petrol and electric hybrid,Number,14
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01601,New Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,-,All fuel types,Number,418
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,1,Petrol,Number,20
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,2,Diesel,Number,364
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,4,Petrol and electric hybrid,Number,14
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016011,New Small Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,-,All fuel types,Number,558
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,1,Petrol,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,2,Diesel,Number,558
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,3,Other fuel types,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,4,Petrol and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,7,Petrol or Diesel plug-in hybrid electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,016012,New Large Public Service Vehicles,9,Diesel and electric hybrid,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,,01604,New Machines or Contrivances,-,All fuel types,Number,472
